Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.562473642,0.958112868,0.177050311,0.324260242,5.465074005,-9191.930779,18393.86156,18427.52872
Estimate,0.69895234,0.972132848,0.171049244,0.322993838,5.469091851,-9211.283176,18432.56635,18466.23352
Estimate,0.380121095,0.924535313,0.161809599,0.344800698,5.517542069,-9201.239132,18412.47826,18446.14543
Estimate,0.693821611,0.971706004,0.133267102,0.315798134,5.575916196,-9209.878448,18429.7569,18463.42406
Estimate,0.715839884,0.957696644,0.148491165,0.315183589,5.558517078,-9200.650168,18411.30034,18444.9675
Estimate,0.597471666,0.970104176,0.124710291,0.303591586,5.499703592,-9211.119994,18432.23999,18465.90715
Estimate,0.39328948,0.857504465,0.322528031,0.310674659,5.792235003,-9214.08377,18438.16754,18471.8347
Estimate,0.619080461,0.971034102,0.13251925,0.307054526,5.498617843,-9214.696099,18439.3922,18473.05936
Estimate,0.541942098,0.958073424,0.141508082,0.323001981,5.505469953,-9191.845101,18393.6902,18427.35737
Estimate,0.589144594,0.970619465,0.123563407,0.327006703,5.578249629,-9203.301988,18416.60398,18450.27114
Estimate,0.498949939,0.869166344,0.223246684,0.346863983,5.549621885,-9210.836464,18431.67293,18465.34009
Estimate,0.64531361,0.950570828,0.151277907,0.311898879,5.470846567,-9207.840435,18425.68087,18459.34804
Estimate,0.519298945,0.955607387,0.155500925,0.326274536,5.478943217,-9186.20639,18382.41278,18416.07995
Estimate,0.559889546,0.958662013,0.115325019,0.302918019,5.529365484,-9206.774489,18423.54898,18457.21614
Estimate,0.51241474,0.923959846,0.18503306,0.351831801,5.5818236,-9201.040503,18412.08101,18445.74817
Estimate,0.537426552,0.878874444,0.273144958,0.325825906,5.714422052,-9196.015229,18402.03046,18435.69762
Estimate,0.620120689,0.944865489,0.198188979,0.340315012,5.507270724,-9194.266844,18398.53369,18432.20085
Estimate,0.561985831,0.973472451,0.109708217,0.315709933,5.614069628,-9209.814822,18429.62964,18463.29681
Estimate,0.508838834,0.964663465,0.196045274,0.346435314,5.499748568,-9207.585847,18425.17169,18458.83886
Estimate,0.500566081,0.958525729,0.133898806,0.312030025,5.491831544,-9194.21114,18398.42228,18432.08944
Estimate,0.826092582,0.970477435,0.154255956,0.316707303,5.499420857,-9212.371293,18434.74259,18468.40975
Estimate,0.530358705,0.90994556,0.209963968,0.331530352,5.623246243,-9190.687464,18391.37493,18425.04209
Estimate,0.669711942,0.969971765,0.160984154,0.322357504,5.499935176,-9207.532479,18425.06496,18458.73212
Estimate,0.520575369,0.935096778,0.174545844,0.308605915,5.462901955,-9197.511978,18405.02396,18438.69112
Estimate,0.542146198,0.968590146,0.171659921,0.326353463,5.540785626,-9207.088296,18424.17659,18457.84376
Estimate,0.622249595,0.972836232,0.173452614,0.331515201,5.503361242,-9211.056799,18432.1136,18465.78076
Estimate,0.735150313,0.958871778,0.16962869,0.340477936,5.493210989,-9206.778372,18423.55674,18457.22391
Estimate,0.585378304,0.967630172,0.124248634,0.338179813,5.525908778,-9210.384231,18430.76846,18464.43563
Estimate,0.583668076,0.917342015,0.269563578,0.321314115,5.617744831,-9207.574827,18425.14965,18458.81682
Estimate,0.57316709,0.933551135,0.138727753,0.327492449,5.492556347,-9210.174145,18430.34829,18464.01546
